course_id,title,category,level,skills,duration_hours,rating,students,instructor,description
1,Android App Development,Mobile Development,Beginner,android; mobile development,35,4.5,120000,Vanderbilt University,"A beginner-level mobile development course offered by Vanderbilt University, covering Android App Development."
2,iOS App Development with Swift,Mobile Development,Intermediate,ios; swift; mobile development,18,3.9,76000,University of Toronto,"An intermediate-level mobile development course offered by University of Toronto, covering iOS App Development with Swift."
3,Kotlin for Java Developers,Mobile Development,Intermediate,kotlin; mobile development,4,4.7,37000,JetBrains,"An intermediate-level mobile development course offered by JetBrains, covering Kotlin for Java Developers."
4,Swift 5 iOS Application Developer,Mobile Development,Beginner,ios; swift; mobile development,38,4.5,3900,LearnQuest,"A beginner-level mobile development course offered by LearnQuest, covering Swift 5 iOS Application Developer."
5,Google IT Automation with Python,DevOps & SRE,Beginner,automation; python; devops,47,4.7,93000,Google,"A beginner-level devops & sre course offered by Google, covering Google IT Automation with Python."
6,Getting Started with Google Kubernetes Engine,DevOps & SRE,Intermediate,kubernetes; devops,7,4.5,75000,Google Cloud,"An intermediate-level devops & sre course offered by Google Cloud, covering Getting Started with Google Kubernetes Engine."
7,Version Control with Git,DevOps & SRE,Intermediate,git; devops,7,4.8,40000,Atlassian,"An intermediate-level devops & sre course offered by Atlassian, covering Version Control with Git."
8,Continuous Delivery & DevOps,DevOps & SRE,Beginner,devops; ci/cd,6,4.6,26000,University of Virginia,"A beginner-level devops & sre course offered by University of Virginia, covering Continuous Delivery & DevOps."
9,Site Reliability Engineering: Measuring and Managing Reliability,DevOps & SRE,Advanced,sre; devops,15,4.5,16000,Google Cloud,"An advanced-level devops & sre course offered by Google Cloud, covering Site Reliability Engineering: Measuring and Managing Reliability."
10,Cybersecurity and Its Ten Domains,Cybersecurity,Beginner,security fundamentals; cybersecurity,5,4.2,140000,University System of Georgia,"A beginner-level cybersecurity course offered by University System of Georgia, covering Cybersecurity and Its Ten Domains."
11,Cybersecurity,Cybersecurity,Intermediate,security fundamentals; cybersecurity,36,4.5,99000,"University of Maryland, College Park","An intermediate-level cybersecurity course offered by University of Maryland, College Park, covering Cybersecurity."
12,IT Fundamentals for Cybersecurity,Cybersecurity,Beginner,security fundamentals; cybersecurity,38,4.5,35000,IBM,"A beginner-level cybersecurity course offered by IBM, covering IT Fundamentals for Cybersecurity."
13,Information Security: Context and Introduction,Cybersecurity,Beginner,security fundamentals; cybersecurity,12,4.6,32000,"Royal Holloway, University of London","A beginner-level cybersecurity course offered by Royal Holloway, University of London, covering Information Security: Context and Introduction."
14,Introduction to Cyber Security,Cybersecurity,Beginner,security fundamentals; cybersecurity,17,4.7,32000,New York University,"A beginner-level cybersecurity course offered by New York University, covering Introduction to Cyber Security."
15,Introduction to Cybersecurity Tools & Cyber Attacks,Cybersecurity,Beginner,security fundamentals; cybersecurity,13,4.5,30000,IBM,"A beginner-level cybersecurity course offered by IBM, covering Introduction to Cybersecurity Tools & Cyber Attacks."
16,Cybersecurity for Business,Cybersecurity,Beginner,security fundamentals; cybersecurity,28,4.6,23000,University of Colorado System,"A beginner-level cybersecurity course offered by University of Colorado System, covering Cybersecurity for Business."
17,Palo Alto Networks Cybersecurity,Cybersecurity,Beginner,security fundamentals; cybersecurity,16,4.6,9100,Palo Alto Networks,"A beginner-level cybersecurity course offered by Palo Alto Networks, covering Palo Alto Networks Cybersecurity."
18,Homeland Security and Cybersecurity,Cybersecurity,Beginner,security fundamentals; cybersecurity,15,4.7,5500,University of Colorado System,"A beginner-level cybersecurity course offered by University of Colorado System, covering Homeland Security and Cybersecurity."
